DEBUG 2023-11-25 14:22:04,336 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/urls/conf.py first seen with mtime 1696143531.009866 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,336 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1696143530.9849715 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1696143530.7468238 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/queues.py first seen with mtime 1692889091.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/NewsPaper/NewsPaper/celery.py first seen with mtime 1696986122.4296887 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/charset.py first seen with mtime 1692889090.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/kombu/utils/imports.py first seen with mtime 1696385028.986824 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/core/checks/__init__.py first seen with mtime 1696143530.9703567 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1696143530.987245 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/messages/middleware.py first seen with mtime 1696143530.8644524 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_futures.py first seen with mtime 1692889090.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/template/loaders/__init__.py first seen with mtime 1696143531.006869 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1696143530.9130352 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/_header_value_parser.py first seen with mtime 1692889090.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lzma.py first seen with mtime 1692889090.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/template/exceptions.py first seen with mtime 1696143531.0057397 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/logging/config.py first seen with mtime 1692889091.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/db/models/functions/datetime.py first seen with mtime 1696143530.9916086 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/urllib3/util/wait.py first seen with mtime 1696145999.3078144 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,337 File /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/template/smartif.py first seen with mtime 1696143531.0062208 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
DEBUG 2023-11-25 14:22:04,338 File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/http/__init__.py first seen with mtime 1692889090.0 /Users/konstantinkolbin/PycharmProjects/pythonProject1/venv/lib/python3.11/site-packages/django/utils/autoreload.py None
